feature,importance
referredby_8a858fba5c1b5c10015c1b6bce4a075a,0.0
referredby_8a858f965bb63a25015bc2ddf2577416,0.0
referredby_8a858f965bb63a25015bc8a2a6d243fc,0.0
referredby_8a858f975c4582c4015c4e46f789665d,0.0
referredby_8a858f975c4582c4015c54619e9b7e2b,0.0
referredby_8a858f975c4582c4015c561116aa65ea,0.0
referredby_8a858f985b3db23f015b3dbdadc8145b,0.0
referredby_8a858f99560bbe45015613f9b9fa2171,0.0
referredby_8a858f995623749101562b51bcad0eca,0.0
referredby_8a858f965bb63a25015bbb332f6f7592,0.0
referredby_8a858f795896e56b0158a4eb84d1648d,0.0
referredby_8a858f7958b0a4a80158b4e352b6367b,0.0
referredby_8a858f7a5b39a003015b39ca67ab2efb,0.0
referredby_8a858f7d5578012a015579e9cfd56f51,0.0
referredby_8a858f7d5ab3ca4b015ab769621b5811,0.0
referredby_8a858f7d5cf9aef9015cfe8fde1763ac,0.0
referredby_8a858f7d5cf9aef9015cff00020175f0,0.0
referredby_8a858f7d5cf9aef9015cffc97211089d,0.0
referredby_8a858f8f5bfd3cfa015bfe947ef14c93,0.0
referredby_8a858f7e5c69a6e3015c7abe2c1b37d3,0.0
referredby_8a858f7e5c886ca9015c89215212546b,0.0
referredby_8a858f855bf2f1ad015bf5c0e6c01b8a,0.0
referredby_8a858f8658c206a90158c93edbb13b71,0.0
referredby_8a858f865bee36ad015bf1168c727179,0.0
referredby_8a858f875afc0db0015afee056815c8a,0.0
referredby_8a858f895b1f9aec015b1ff32a664db3,0.0
referredby_8a858f8e5b8c34d3015b8cb7246e3f40,0.0
referredby_8a858f7e5c69a6e3015c6d308889653b,0.0
referredby_8a858fa95c695f85015c6aba473a5478,0.0
referredby_8a858fa95c695f85015c780af573028d,0.0
referredby_8a858fab5b9105dc015b999726de4412,0.0
referredby_8a858fab5cd5e1a7015cd9c3b9ae0f29,0.0
referredby_8a858fab5cd5e1a7015ce34b7abd0bb2,0.0
referredby_8a858fad5bf85d5e015bf8efc79e33dd,0.0
referredby_8a858fad5bf85d5e015bf91a60f63b83,0.0
referredby_8a858f995bcdb303015bcdb8f52f0478,0.0
referredby_8a858faf56939fea01569f7f791b4369,0.0
referredby_8a858fb15b34a708015b34e097fa30af,0.0
referredby_8a858fb65b2020b2015b205fe7a63993,0.0
referredby_8a858fb65b2020b2015b23c6042023b2,0.0
referredby_8a858fb85b81c658015b81c9ff880479,0.0
referredby_8a858fb85b81c658015b8508fbb237a1,0.0
referredby_8a858fb85b81c658015b853e87955e7f,0.0
referredby_8a858fb959976ce0015998f0a628583b,0.0
referredby_8a858fad5bf85d5e015bf96d6d254a0d,0.0
referredby_8a858f995c63d7ef015c65a8d83a03c8,0.0
referredby_8a858f9d5668e3f10156767e9a0f0188,0.0
referredby_8a858f9f5bd99987015be3f53cb442d9,0.0
referredby_8a858f9f5bd99987015be41c167f470c,0.0
referredby_8a858fa05908043801590d3c3a4e6f83,0.0
referredby_8a858fa154daefc00154df6b9c792ca8,0.0
referredby_8a858fa154e2912f0154e2f6b3da1e13,0.0
referredby_8a858fa154e2912f0154ee239b0857f0,0.0
referredby_8a858fa75b5c94ed015b5ca7267d13f2,0.0
referredby_8a858fa25bd92c20015bdbe4fac67f20,0.0
referredby_8a858fa25bd92c20015be3783b7a6a29,0.0
referredby_8a858fa3551e78cb01552596fed60cec,0.0
referredby_8a858fa359d61dae0159d698bf503d29,0.0
referredby_8a858fa4552add9f0155467c89c31293,0.0
referredby_8a858fa45bd95e9a015bdc9f83f311fb,0.0
referredby_8a858fa55cc5dbbc015cc5f1c8930e9a,0.0
referredby_8a858fa75b5c94ed015b5c9d50890bb4,0.0
referredby_8a858fa15c8ceaaa015c8d7922144eda,0.0
referredby_8a858e195af64338015af6bc45ef5aef,0.0
referredby_8a858e195b90e512015b95ce3ef53c7a,0.0
referredby_8a858e1a59cbf7460159d0335d9a6a03,0.0
referredby_8a858e1d5b2510b2015b2b12369c625a,0.0
referredby_8a858e1d5cd58f9e015cdfe7c50d380b,0.0
referredby_8a858e1e5b47f961015b480939510c02,0.0
referredby_8a858e1f5cac899f015cad22e40430d2,0.0
referredby_8a858ffd5c8d343d015c9be64cc850f0,0.0
referredby_8a858e215ca77c7f015ca871c384393d,0.0
referredby_8a858e225c404292015c535830d47502,0.0
referredby_8a858e225c404292015c541632fc2d77,0.0
referredby_8a858e225c404292015c547de47a4ada,0.0
referredby_8a858e245b680423015b6fe6e6976937,0.0
referredby_8a858e245b680423015b7ad113d6259a,0.0
referredby_8a858e245c5f3f7c015c5f7e5d641333,0.0
referredby_8a858e255a423087015a466009d66e93,0.0
referredby_8a858e2155defefd0155e88ca1b22485,0.0
referredby_8a858e0256b781d80156c61477910b6b,0.0
referredby_8a858e0256b781d80156ca9f1d3c2e72,0.0
referredby_8a858e025ab3a6c2015ab74cfa5c4431,0.0
referredby_8a858e0359bb64590159bff9ea0c4105,0.0
referredby_8a858e045b495c30015b49b40d522144,0.0
referredby_8a858e055ac84a51015ac944e21e6883,0.0
referredby_8a858e0f5c45466f015c4bf3a7cd77bc,0.0
referredby_8a858e105bd92644015bd92816fa0073,0.0
referredby_8a858e185b4923b4015b536354895cae,0.0
referredby_8a858e105bd92644015bdc54519566e5,0.0
referredby_8a858e105bd92644015bdd2f7a981936,0.0
referredby_8a858e125b391784015b395fa56243e6,0.0
referredby_8a858e135c7e2eec015c813211a96674,0.0
referredby_8a858e135cb22031015cb723f07f66f8,0.0
referredby_8a858e135cb22031015cb7f9700e06f8,0.0
referredby_8a858e145bf81459015bfb14c0187f03,0.0
referredby_8a858e1556321b940156368d95d74291,0.0
referredby_8a858e105bd92644015bdaea61965690,0.0
referredby_8a858e4357be1daf0157c4213f1968e4,0.0
referredby_8a858e435bedeb4f015beefb8a294d30,0.0
referredby_8a858e495cef1ef1015cef8066103757,0.0
referredby_8a858e495d1e235c015d30d5ddb42149,0.0
referredby_8a858e4b5a94ae68015a9a8f07ab3b6a,0.0
referredby_8a858e4b5c831f02015c83bd0d353711,0.0
referredby_8a858e4b5c831f02015c87b82f731ce9,0.0
referredby_8a858e255b910db1015b91c0c8433384,0.0
referredby_8a858e4f58b9f0b40158c027a53e65a8,0.0
referredby_8a858e51584a1fc701584a2d9653035b,0.0
referredby_8a858e51584a1fc701584ef9749a7d80,0.0
referredby_8a858e585693982b0156adba96202a26,0.0
referredby_8a858e59569397d50156aa587773414a,0.0
referredby_8a858e5a5be99e1c015be9fc8d12143c,0.0
referredby_8a858e5b5bd99460015bd9e9ee2e18f4,0.0
referredby_8a858e5f5a41b97f015a4212766e2f84,0.0
referredby_8a858e4c5a715421015a7160ed750369,0.0
referredby_8a858e275b349e25015b384ed5222fcb,0.0
referredby_8a858e285aa8cfc1015aa8fd90951f5a,0.0
referredby_8a858e2d5bb55d46015bb55e67600058,0.0
referredby_8a858e2d5bb55d46015bc86b9e566836,0.0
referredby_8a858e325b3e903a015b3e9a2fba0b3e,0.0
referredby_8a858e325d60aaf2015d61746b213f1f,0.0
referredby_8a858e335b806e4d015b807c181d101f,0.0
referredby_8a858e335c1122c5015c116f9bd31ef8,0.0
referredby_8a858e3d5c3b5122015c43f776bd4a3a,0.0
referredby_8a858e345bd96da8015bda7ce5f33ec9,0.0
referredby_8a858e345c788b37015c792c68fd5717,0.0
referredby_8a858e375b347293015b347501e10206,0.0
referredby_8a858e395cb1d4d9015cbd121e2a20c7,0.0
referredby_8a858e395cb1d4d9015cc0480a8943bd,0.0
referredby_8a858e395cb1d4d9015cc15f03193c90,0.0
referredby_8a858e3a5bed83ab015bedad8d191c74,0.0
referredby_8a858e3c5cac9fcc015cafc54f557506,0.0
referredby_8a858e345bd96da8015bd97f85df06c8,0.0
bank_branch_clients_AKUTE,0.0
bank_branch_clients_APAPA,0.0
"bank_branch_clients_BOSSO ROAD, MINNA",0.0
"bank_branch_clients_DUGBE,IBADAN",0.0
bank_branch_clients_GBAGADA,0.0
bank_branch_clients_LAGOS,0.0
bank_branch_clients_LEKKI EPE,0.0
referredby_8a858e005ca7abe3015cac3d9960218c,0.0
bank_branch_clients_MUSHIN BRANCH,0.0
bank_branch_clients_OAU ILE IFE,0.0
bank_branch_clients_OBA ADEBIMPE,0.0
bank_branch_clients_OBA AKRAN,0.0
bank_branch_clients_OBA AKRAN BERGER PAINT,0.0
bank_branch_clients_OGBA,0.0
"bank_branch_clients_OGUDU, OJOTA",0.0
bank_branch_clients_OJUELEGBA,0.0
bank_branch_clients_MAFOLUKU,0.0
repayment_delay,0.0
loan_active_days,0.0
bank_account_type_Unknown,0.0
bank_name_clients_Heritage Bank,0.0
bank_name_clients_Keystone Bank,0.0
bank_name_clients_Standard Chartered,0.0
bank_name_clients_Union Bank,0.0
bank_name_clients_Unity Bank,0.0
bank_branch_clients_AKURE BRANCH,0.0
bank_name_clients_Wema Bank,0.0
"bank_branch_clients_17, SANUSI FAFUNWA STREET, VICTORIA ISLAND, LAGOS",0.0
"bank_branch_clients_40,SAPELE ROAD ,OPPOSITE DUMAZ JUNCTION BENIN CITY EDO STATE.",0.0
bank_branch_clients_ABEOKUTA,0.0
bank_branch_clients_ABULE EGBA,0.0
"bank_branch_clients_ACCESS BANK PLC, CHALLENGE ROUNDABOUT IBADAN, OYO STATE.",0.0
bank_branch_clients_ADEOLA HOPEWELL,0.0
bank_branch_clients_AJOSE ADEOGUN,0.0
bank_name_clients_Unknown,0.0
referredby_8a8588dd54be35520154c9ffe1f03738,0.0
referredby_8a8588f35451808f01545e9791a07d7f,0.0
referredby_8a8589045384bd8301539e134b745638,0.0
referredby_8a85892854a059ed0154aa7276e55a23,0.0
referredby_8a85898a53bc15600153cdd9fae978e0,0.0
referredby_8a8589a453bc422d0153c7aef31f02bd,0.0
referredby_8a8589ac53a917ed0153a9f9e614244b,0.0
referredby_8a8589b953d0be470153d20503ec69ee,0.0
"bank_branch_clients_PLOT 999C DANMOLE STREET, ADEOLA ODEKU, VICTORIA ISLAND, LAGOS",0.0
referredby_8a8589ec542eaa8901544d30b510384d,0.0
referredby_8a8589ec54517bf901546122c8862bab,0.0
referredby_8a8589f35451855401547fc55caa6cd5,0.0
referredby_8a8589f853f100fb015402f057354ac0,0.0
referredby_8a8589f853f100fb01540a3551f034bd,0.0
referredby_8a8589f853f100fb01540ed945a70efd,0.0
referredby_8a858e005c2154c2015c232814734b28,0.0
referredby_8a858e005ca7abe3015ca840481d219b,0.0
referredby_8a8589d8548faed501549a0fd1d72170,0.0
bank_branch_clients_RING ROAD,0.0
"bank_branch_clients_STERLING BANK PLC 102, IJU ROAD, IFAKO BRANCH",0.0
bank_branch_clients_TINCAN,0.0
bank_branch_clients_TRANS AMADI,0.0
"bank_branch_clients_WHARF ROAD, APAPA",0.0
employment_status_clients_Retired,0.0
level_of_education_clients_Primary,0.0
referredby_8a81899e529ba94b01529c8baba42daa,0.0
referredby_8a8588dc536a141301538365df9251b8,0.0
referredby_8a85880353acff880153af354a6719df,0.0
referredby_8a85882653bc51f50153d00a923d26cb,0.0
referredby_8a85883353e2e4e40153eca57a9855c6,0.0
referredby_8a85884e54a0565b0154a05a7dd10159,0.0
referredby_8a858899538ddb8e01539eccc3c375fe,0.0
referredby_8a858899538ddb8e0153a780c56e34bb,0.0
referredby_8a85889953a91b8d0153ac729ae74066,0.0
referredby_8a8588bd5369b66d0153741340f755e0,0.0
referredby_8a8189f9528494e4015284e68a250edb,0.0
referredby_8a858ed45c454c11015c4e1307e35dd9,0.0
referredby_8a858ed45c454c11015c544fc1dd3dd4,0.0
referredby_8a858ed55c63db54015c69c1af982dbf,0.0
referredby_8a858ed75732b681015744c9dee21aae,0.0
referredby_8a858ed75bb64559015bc473d5394709,0.0
referredby_8a858ed75bc9016e015bcda844376e7d,0.0
referredby_8a858ed95cc5bd6b015cc62436ae43be,0.0
referredby_8a858e625c8d993a015c944701ea0746,0.0
referredby_8a858eda5c8863ff015c8b96e5fd74d0,0.0
referredby_8a858eda5c8863ff015c927d4b997fa1,0.0
referredby_8a858eda5c8863ff015c96c523266b34,0.0
referredby_8a858eda5c8863ff015c9dead65807bb,0.0
referredby_8a858edb552adcfd015531bdc5371d37,0.0
referredby_8a858edb5ad79cc6015ad7c9b29415c8,0.0
referredby_8a858edb5b8210eb015b85ca659f7bc4,0.0
referredby_8a858edb5bd936e4015bdf8a95d7656a,0.0
referredby_8a858eda552adcc2015548f0eb523fc3,0.0
referredby_8a858eba5c884d2a015c93b1d62410fb,0.0
referredby_8a858eba5c884d2a015c9952e5dd397b,0.0
referredby_8a858ebb5adce699015adea5d5ae51b3,0.0
referredby_8a858ebd5b254c8b015b254cc8580023,0.0
referredby_8a858ebd5b5d50d9015b5d8c6c953f04,0.0
referredby_8a858ec25a4d1d16015a5004af0d4d20,0.0
referredby_8a858ec358dc5c130158ea2c46c124be,0.0
referredby_8a858ec559dbb41a0159dd81258b41c4,0.0
referredby_8a858ed45c454c11015c4931bd2b0a91,0.0
referredby_8a858ec65cc6352b015cc75880264271,0.0
referredby_8a858ec7577545eb0157758e344615b5,0.0
referredby_8a858ec75bfd77c4015c0cf0e67618d2,0.0
